id,title,number,tarot_card_image,astrological,alchemical,intelligence,hebrew_letter,letter_meaning,description,galileo_content,f_loss_content,st_paul_content,f_loss_bullets,galileo_bullets,st_paul_bullets,description_bullets,slashdot_position,watchtower_position,tarot_card_thumbnail
11,The Hermit,9,https://i.imgur.com/HVgn6Jg.jpg,Virgo,"egestas,",Aliquam,felis.,lacus,"The variation from the conventional models in this card is only that the lamp is not enveloped partially in the mantle of its bearer, who blends the idea of the Ancient of Days with the Light of the World It is a star which shines in the lantern. I have said that this is a card of attainment, and to extend this conception the figure is seen holding up his beacon on an eminence. Therefore the Hermit is not, as Court de Gebelin explained, a wise man in search of truth and justice; nor is he, as a later explanation proposes, an especial example of experience. His beacon intimates that ""where I am, you also may be.""It is further a card which is understood quite incorrectly when it is connected with the idea of occult isolation, as the protection of personal magnetism against admixture. This is one of the frivolous renderings which we owe to Éliphas Lévi. It has been adopted by the French Order of Martinism and some of us have heard a great deal of the Silent and Unknown Philosophy enveloped by his mantle from the knowledge of the profane. In true Martinism, the significance of the term Philosophe inconnu was of another order. It did not refer to the intended concealment of the Instituted Mysteries, much less of their substitutes, but--like the card itself--to the truth that the Divine Mysteries secure their own protection from those who are unprepared.","Lectus, magna justo,. Facilisis dui. vitae.. Mattis egestas, Sed felis. vitae.. Aliquam lacus laoreet Aliquam dui. vitae. magna laoreet.","Dui. malesuada lorem Aliquam magna justo,. Sed laoreet laoreet Aliquam felis. lorem Sed. Sed eget eget Sed malesuada lacus. Phasellus dui. lacus mattis mattis mollis. Vitae. fringilla Phasellus lectus, eget.","Fringilla fringilla mattis eu Sed malesuada fringilla. Magna Sed vitae lacus sed dui. fringilla. Eu vitae. Phasellus egestas,. Fringilla facilisis eu ut, lacus magna fringilla.","Felis. justo, lectus,.
Aliquam laoreet sed.
Laoreet lorem lectus,.
Dui. fringilla Aliquam.
Justo, lacus vitae.
Lectus, magna Phasellus.","Magna mattis eget.
Lacus magna Sed.
Eu lacus lacus.
Justo, vitae malesuada.
Facilisis sed facilisis.
Ut, fringilla dui..","Eu ut, lorem.
Egestas, vitae. lorem.
Felis. felis. Sed.
Facilisis laoreet egestas,.
Vitae lacus Aliquam.
Lacus lorem Aliquam.","Fringilla mattis lacus.
Felis. felis. Aliquam.
Phasellus dui. fringilla.
Fringilla malesuada lorem.
Magna lectus, facilisis.
Laoreet lacus lorem.",1,1,
12,The Chariot,7,https://i.imgur.com/BzXabA5.jpg,Cancer,eu,"justo,",Phasellus,sed,"An erect and princely figure carrying a drawn sword and corresponding, broadly speaking, to the traditional description which I have given in the first part. On the shoulders of the victorious hero are supposed to be the Urim and Thummim. He has led captivity captive; he is conquest on all planes--in the mind, in science, in progress, in certain trials of initiation. He has thus replied to the sphinx, and it is on this account that I have accepted the variation of Éliphas Lévi; two sphinxes thus draw his chariot. He is above all things triumph in the mind.It is to be understood for this reason (a) that the question of the sphinx is concerned with a Mystery of Nature and not of the world of Grace, to which the charioteer could offer no answer; (b) that the planes of his conquest are manifest or external and not within himself; (c) that the liberation which he effects may leave himself in the bondage of the logical understanding; (d) that the tests of initiation through which he has passed in triumph are to be understood physically or rationally; and (e) that if he came to the pillars of that Temple between which the High Priestess is seated, he could not open the scroll called Tora, nor if she questioned him could he answer. He is not hereditary royalty and he is not priesthood.","Lorem sed Aliquam mattis fringilla fringilla vitae.. Laoreet mollis lectus, sed malesuada. Vitae. mattis fringilla Aliquam. Egestas, egestas, egestas, magna mollis. Magna laoreet vitae. egestas, Phasellus. Facilisis mattis fringilla ut, magna laoreet lectus, magna.","Egestas, fringilla vitae lectus,. Lorem dui. facilisis eget. Mattis mollis Phasellus dui. felis. mollis. Laoreet dui. malesuada malesuada. Felis. magna malesuada lacus justo, magna mollis justo,. Phasellus sed fringilla vitae lacus.","Phasellus Sed lorem facilisis mollis. Mattis felis. lacus lacus magna sed ut, magna. Justo, lorem mattis vitae egestas, mollis magna. Egestas, lacus lacus lacus lectus,. Lacus malesuada lorem fringilla.","Lacus vitae lectus,.
Lorem Aliquam eget.
Vitae. sed Sed.
Sed lectus, vitae.
Sed lacus Aliquam.
Magna sed dui..","Facilisis lorem eget.
Justo, lacus felis..
Eu Phasellus vitae.
Magna vitae felis..
Vitae. mattis eu.
Aliquam fringilla Phasellus.","Sed lacus felis..
Vitae Phasellus lorem.
Vitae lorem Sed.
Fringilla eu mattis.
Vitae laoreet dui..
Lectus, laoreet malesuada.","Dui. Sed Aliquam.
Magna felis. fringilla.
Lectus, facilisis mattis.
Mollis felis. Sed.
Aliquam vitae. Sed.
Aliquam sed laoreet.",1,1,
13,Wheel of Fortune,10,https://i.imgur.com/xHOtAuQ.jpg,mollis,"ut,",vitae.,felis.,magna,"In this symbol I have again followed the reconstruction of Éliphas Lévi, who has furnished several variants. It is legitimate--as I have intimated--to use Egyptian symbolism when this serves our purpose, provided that no theory of origin is implied therein. I have, however, presented Typhon in his serpent form. The symbolism is, of course, not exclusively Egyptian, as the four Living Creatures of Ezekiel occupy the angles of the card, and the wheel itself follows other indications of Lévi in respect of Ezekiel's vision, as illustrative of the particular Tarot Key. With the French occultist, and in the design itself, the symbolic picture stands for the perpetual motion of a fluidic universe and for the flux of human life. The Sphinx is the equilibrium therein. The transliteration of Taro as Rota is inscribed on the wheel, counterchanged with the letters of the Divine Name--to shew that Providence is imphed through all. But this is the Divine intention within, and the similar intention without is exemplified by the four Living Creatures. Sometimes the sphinx is represented couchant on a pedestal above, which defrauds the symbolism by stultifying the essential idea of stability amidst movement.Behind the general notion expressed in the symbol there lies the denial of chance and the fatality which is implied therein. It may be added that, from the days of Lévi onward, the occult explanations of this card are--even for occultism itself--of a singularly fatuous kind. It has been said to mean principle, fecundity, virile honour, ruling authority, etc. The findings of common fortune-telling are better than this on their own plane.","Laoreet justo, facilisis. Egestas, lacus Aliquam malesuada mattis egestas, egestas,. Lacus eget Aliquam felis. lorem eget. Mattis magna eu vitae. lectus, fringilla eu. Mollis ut, sed fringilla.","Sed Aliquam felis. Sed justo, mollis. Sed vitae eget eget laoreet eu magna justo,. Vitae eget lectus,. Mattis Sed mattis justo, lacus. Vitae justo, Sed lacus Aliquam lacus eget. Eget egestas, fringilla vitae fringilla lacus vitae.. Laoreet Aliquam vitae. eu Sed.","Mattis eu eget dui. Sed. Felis. lacus Aliquam magna. Mattis magna ut, malesuada lectus,.","Laoreet mattis Aliquam.
Eu lacus mollis.
Justo, facilisis laoreet.
Eu sed lacus.
Phasellus fringilla dui..
Eu ut, dui..","Fringilla lectus, egestas,.
Magna fringilla mattis.
Malesuada dui. eget.
Mollis lacus fringilla.
Magna lectus, laoreet.
Lorem sed dui..","Sed ut, justo,.
Felis. laoreet fringilla.
Lacus mattis mollis.
Mattis lectus, egestas,.
Fringilla Phasellus fringilla.
Justo, sed Sed.","Lectus, magna lectus,.
Facilisis felis. vitae..
Eget ut, mollis.
Fringilla dui. justo,.
Lacus eu eu.
Lacus malesuada lacus.",1,1,
14,Temperance,14,https://i.imgur.com/To8PXjL.jpg,Sagittarius,eu,laoreet,vitae,mattis,"A winged angel, with the sign of the sun upon his forehead and on his breast the square and triangle of the septenary. I speak of him in the masculine sense, but the figure is neither male nor female. It is held to be pouring the essences of life from chalice to chalice. It has one foot upon the earth and one upon waters, thus illustrating the nature of the essences. A direct path goes up to certain heights on the verge of the horizon, and above there is a great light, through which a crown is seen vaguely. Hereof is some part of the Secret of Eternal Life, as it is possible to man in his incarnation. All the conventional emblems are renounced herein.So also are the conventional meanings, which refer to changes in the seasons, perpetual movement of life and even the combination of ideas. It is, moreover, untrue to say that the figure symbolizes the genius of the sun, though it is the analogy of solar light, realized in the third part of our human triplicity. It is called Temperance fantastically, because, when the rule of it obtains in our consciousness, it tempers, combines and harmonises the psychic and material natures. Under that rule we know in our rational part something of whence we came and whither we are going.","Vitae. sed ut, lacus facilisis magna sed. Sed mollis lacus fringilla. Ut, vitae mattis ut, fringilla. Sed mollis lectus, lacus mollis lectus, fringilla.","Lacus Phasellus sed. Vitae Sed fringilla Phasellus vitae felis. sed. Magna sed fringilla fringilla lorem. Lacus justo, ut, Sed eu magna mattis laoreet. Lectus, Phasellus justo, lorem justo, sed eu.","Sed mollis mattis. Magna lectus, malesuada dui. vitae eget mattis egestas,. Vitae. egestas, ut,.","Fringilla eget malesuada.
Fringilla laoreet Sed.
Malesuada lectus, lectus,.
Lorem vitae eu.
Ut, facilisis justo,.
Mattis lacus magna.","Aliquam eget eget.
Sed egestas, malesuada.
Magna fringilla sed.
Aliquam malesuada laoreet.
Facilisis Phasellus Phasellus.
Egestas, lectus, mattis.","Laoreet laoreet lacus.
Sed malesuada mattis.
Fringilla Phasellus magna.
Egestas, Phasellus malesuada.
Lacus lacus ut,.
Ut, laoreet magna.","Phasellus eu justo,.
Ut, Sed facilisis.
Eget malesuada eu.
Felis. lacus facilisis.
Dui. lorem vitae..
Lectus, lacus fringilla.",1,1,
15,Death,13,https://i.imgur.com/8AMB8KX.jpg,Scorpio,malesuada,eu,felis.,dui.,"The veil or mask of life is perpetuated in change, transformation and passage from lower to higher, and this is more fitly represented in the rectified Tarot by one of the apocalyptic visions than by the crude notion of the reaping skeleton. Behind it lies the whole world of ascent in the spirit. The mysterious horseman moves slowly, bearing a black banner emblazoned with the Mystic Rose, which signifies life. Between two pillars on the verge of the horizon there shines the sun of immortality. The horseman carries no visible weapon, but king and child and maiden fall before him, while a prelate with clasped hands awaits his end.There should be no need to point out that the suggestion of death which I have made in connection with the previous card is, of course, to be understood mystically, but this is not the case in the present instance. The natural transit of man to the next stage of his being either is or may be one form of his progress, but the exotic and almost unknown entrance, while still in this life, into the state of mystical death is a change in the form of consciousness and the passage into a state to which ordinary death is neither the path nor gate. The existing occult explanations of the 13th card are, on the whole, better than usual, rebirth, creation, destination, renewal, and the rest.","Phasellus lacus Sed Aliquam vitae. Lorem lorem magna sed eu malesuada Sed felis.. Lectus, vitae eget vitae magna justo,. Sed mollis malesuada justo, mattis eu fringilla. Aliquam fringilla laoreet sed mollis laoreet. Phasellus fringilla eget mattis lacus. Lacus vitae. justo, lacus. Eget mattis eget vitae. mattis lorem.","Mattis Phasellus fringilla lacus ut, lacus fringilla. Eu mattis lorem fringilla dui.. Fringilla malesuada ut, egestas, lacus. Dui. Aliquam eget malesuada fringilla magna fringilla lacus. Justo, mollis felis. vitae.","Lacus felis. magna Phasellus lacus vitae.. Vitae. egestas, magna mollis lorem. Laoreet laoreet dui. vitae. vitae. Phasellus fringilla lacus felis. felis. magna fringilla. Mattis mattis eget lorem magna lorem. Mollis ut, lorem mollis.","Justo, lectus, Aliquam.
Eu Sed eget.
Eget lorem magna.
Laoreet lorem Phasellus.
Dui. vitae justo,.
Mollis mattis ut,.","Lectus, lorem lectus,.
Magna felis. malesuada.
Mollis malesuada fringilla.
Facilisis Sed felis..
Felis. eget lectus,.
Vitae facilisis lacus.","Laoreet vitae mattis.
Facilisis mollis magna.
Mollis Phasellus malesuada.
Eu lacus magna.
Lacus malesuada magna.
Mollis facilisis facilisis.","Magna mollis justo,.
Lacus Phasellus sed.
Fringilla justo, sed.
Mollis lacus felis..
Aliquam Aliquam eu.
Mattis fringilla Phasellus.",1,1,
16,Strength,8,https://i.imgur.com/6T1hTDa.jpg,Leo,magna,malesuada,dui.,Phasellus,"A woman, over whose head there broods the same symbol of life which we have seen in the card of the Magician, is closing the jaws of a lion. The only point in which this design differs from the conventional presentations is that her beneficent fortitude has already subdued the lion, which is being led by a chain of flowers. For reasons which satisfy myself, this card has been interchanged with that of justice, which is usually numbered eight. As the variation carries nothing with it which will signify to the reader, there is no cause for explanation. Fortitude, in one of its most exalted aspects, is connected with the Divine Mystery of Union; the virtue, of course, operates in all planes, and hence draws on all in its symbolism. It connects also with innocentia inviolata, and with the strength which resides in contemplation.These higher meanings are, however, matters of inference, and I do not suggest that they are transparent on the surface of the card. They are intimated in a concealed manner by the chain of flowers, which signifies, among many other things, the sweet yoke and the light burden of Divine Law, when it has been taken into the heart of hearts. The card has nothing to do with self-confidence in the ordinary sense, though this has been suggested--but it concerns the confidence of those whose strength is God, who have found their refuge in Him. There is one aspect in which the lion signifies the passions, and she who is called Strength is the higher nature in its liberation. It has walked upon the asp and the basilisk and has trodden down the lion and the dragon.","Vitae. Aliquam malesuada lorem vitae eget laoreet facilisis. Sed egestas, fringilla justo,. Eu lacus justo, mattis ut, dui. vitae Aliquam. Lacus Sed eu Sed egestas, eu vitae. Fringilla ut, Sed dui. Sed dui..","Eget magna egestas,. Mattis egestas, Aliquam eget Sed. Aliquam laoreet ut, eu mattis vitae. fringilla facilisis. Mattis eget lectus, eget Phasellus.","Vitae laoreet vitae fringilla. Fringilla facilisis mollis lacus. Mattis facilisis dui. Sed. Ut, fringilla sed laoreet vitae. lacus felis..","Eu mollis mattis.
Lorem Phasellus eu.
Lorem eget eget.
Sed vitae. malesuada.
Lacus justo, mattis.
Eu felis. mattis.","Mollis Aliquam Aliquam.
Egestas, dui. Phasellus.
Malesuada vitae mollis.
Dui. mattis ut,.
Egestas, Aliquam eu.
Dui. sed felis..","Eu mattis fringilla.
Sed lorem ut,.
Dui. eget Sed.
Lectus, eget lorem.
Laoreet egestas, lacus.
Lacus lorem vitae.","Mollis laoreet Aliquam.
Justo, felis. ut,.
Facilisis lacus malesuada.
Ut, lectus, Aliquam.
Lorem ut, mollis.
Sed justo, felis..",1,1,
17,The Empress,3,https://i.imgur.com/2zKPo0E.jpg,vitae.,lacus,lorem,"lectus,",sed,"A stately figure, seated, having rich vestments and royal aspect, as of a daughter of heaven and earth. Her diadem is of twelve stars, gathered in a cluster. The symbol of Venus is on the shield which rests near her. A field of corn is ripening in front of her, and beyond there is a fall of water. The sceptre which she bears is surmounted by the globe of this world. She is the inferior Garden of Eden, the Earthly Paradise, all that is symbolized by the visible house of man. She is not Regina coeli, but she is still refugium peccatorum, the fruitful mother of thousands. There are also certain aspects in which she has been correctly described as desire and the wings thereof, as the woman clothed with the sun, as Gloria Mundi and the veil of the Sanctum Sanctorum; but she is not, I may add, the soul that has attained wings, unless all the symbolism is counted up another and unusual way. She is above all things universal fecundity and the outer sense of the Word. This is obvious, because there is no direct message which has been given to man like that which is borne by woman; but she does not herself carry its interpretation.In another order of ideas, the card of the Empress signifies the door or gate by which an entrance is obtained into this life, as into the Garden of Venus; and then the way which leads out therefrom, into that which is beyond, is the secret known to the High Priestess: it is communicated by her to the elect. Most old attributions of this card are completely wrong on the symbolism--as, for example, its identification with the Word, Divine Nature, the Triad, and so forth.","Phasellus malesuada facilisis facilisis sed. Lacus egestas, ut, lacus. Vitae. mollis ut,. Justo, laoreet lectus, Phasellus fringilla egestas, fringilla. Mollis Sed lorem malesuada laoreet.","Lacus mattis vitae justo,. Aliquam fringilla vitae. facilisis. Sed vitae magna. Eget Sed facilisis. Malesuada laoreet vitae Aliquam. Ut, Aliquam dui. justo, mattis.",Fringilla eget lacus lacus. Sed lacus laoreet malesuada mattis. Mattis lacus lacus sed Aliquam.,"Lacus malesuada mattis.
Eu malesuada dui..
Vitae mattis justo,.
Aliquam felis. Phasellus.
Egestas, egestas, Aliquam.
Facilisis vitae eu.","Egestas, ut, fringilla.
Aliquam vitae eu.
Magna lacus malesuada.
Laoreet egestas, magna.
Laoreet vitae dui..
Ut, fringilla malesuada.","Eu eget ut,.
Eget vitae. fringilla.
Aliquam justo, facilisis.
Justo, vitae mattis.
Felis. vitae Phasellus.
Lacus eget ut,.","Laoreet laoreet fringilla.
Mattis laoreet fringilla.
Fringilla felis. felis..
Ut, malesuada Phasellus.
Egestas, Sed lacus.
Eu Sed dui..",1,1,
18,Hanged Man,12,https://i.imgur.com/WSju3NU.jpg,eu,lacus,lorem,"lectus,",fringilla,"The gallows from which he is suspended forms a Tau cross, while the figure--from the position of the legs--forms a fylfot cross. There is a nimbus about the head of the seeming martyr. It should be noted (1) that the tree of sacrifice is living wood, with leaves thereon; (2) that the face expresses deep entrancement, not suffering; (3) that the figure, as a whole, suggests life in suspension, but life and not death. It is a card of profound significance, but all the significance is veiled. One of his editors suggests that Éliphas Lévi did not know the meaning, which is unquestionable nor did the editor himself. It has been called falsely a card of martyrdom, a card a of prudence, a card of the Great Work, a card of duty; but we may exhaust all published interpretations and find only vanity. I will say very simply on my own part that it expresses the relation, in one of its aspects, between the Divine and the Universe.He who can understand that the story of his higher nature is imbedded in this symbolism will receive intimations concerning a great awakening that is possible, and will know that after the sacred Mystery of Death there is a glorious Mystery of Resurrection.","Mattis Aliquam Phasellus lacus eu lectus,. Phasellus lacus eget lorem facilisis. Fringilla mattis lectus, Sed vitae. Lacus lectus, mattis Phasellus Phasellus mollis ut,. Lacus egestas, lectus, lorem eu.","Fringilla malesuada vitae lacus lectus, Phasellus justo,. Fringilla lorem eu egestas, mattis justo, felis.. Eu justo, laoreet Aliquam. Eu lacus vitae vitae. Lorem dui. egestas, vitae..","Laoreet fringilla facilisis. Egestas, lectus, justo,. Fringilla fringilla facilisis justo, lacus lacus eget felis.. Sed magna vitae vitae. Phasellus lectus, facilisis. Aliquam sed eu lacus mollis Phasellus.","Facilisis lectus, mollis.
Phasellus Aliquam facilisis.
Egestas, magna dui..
Laoreet malesuada eget.
Eget eu malesuada.
Mollis eu Aliquam.","Facilisis mattis Phasellus.
Lectus, lorem fringilla.
Ut, Phasellus fringilla.
Eget eu malesuada.
Lectus, lacus dui..
Laoreet eu egestas,.","Vitae. ut, lacus.
Phasellus dui. Phasellus.
Sed lorem fringilla.
Aliquam sed vitae..
Aliquam justo, mollis.
Justo, ut, egestas,.","Lacus vitae. Phasellus.
Lacus magna justo,.
Felis. eget fringilla.
Lacus vitae. mollis.
Lorem eget laoreet.
Aliquam lacus sed.",1,1,
19,The World,21,https://i.imgur.com/hBF4bFS.jpg,mollis,eu,eget,Sed,lacus,"As this final message of the Major Trumps is unchanged--and indeed unchangeable--in respect of its design, it has been partly described already regarding its deeper sense. It represents also the perfection and end of the Cosmos, the secret which is within it, the rapture of the universe when it understands itself in God. It is further the state of the soul in the consciousness of Divine Vision, reflected from the self-knowing spirit. But these meanings are without prejudice to that which I have said concerning it on the material side.It has more than one message on the macrocosmic side and is, for example, the state of the restored world when the law of manifestation shall have been carried to the highest degree of natural perfection. But it is perhaps more especially a story of the past, referring to that day when all was declared to be good, when the morning stars sang together and all the Sons of God shouted for joy. One of the worst explanations concerning it is that the figure symbolizes the Magus when he has reached the highest degree of initiation; another account says that it represents the absolute, which is ridiculous. The figure has been said to stand for Truth, which is, however, more properly allocated to the seventeenth card. Lastly, it has been called the Crown of the Magi.","Vitae. lacus eu. Vitae vitae. fringilla. Malesuada dui. lorem Sed lacus fringilla. Fringilla mattis eget sed. Phasellus malesuada ut, lorem mollis mollis eget. Mollis egestas, egestas, vitae mollis.","Lacus fringilla lorem. Lorem lacus fringilla Aliquam magna facilisis. Ut, vitae dui. eu lorem vitae lacus. Mattis lacus sed Phasellus ut,. Lacus ut, Sed eu vitae dui. fringilla lorem. Aliquam vitae. justo, lectus, lacus eu Sed. Phasellus eget facilisis eu justo,.","Mattis malesuada fringilla Phasellus sed felis.. Sed malesuada Phasellus Phasellus. Aliquam ut, lacus dui.. Eu vitae lacus eu vitae. Egestas, mattis lectus, egestas, Aliquam magna felis. Aliquam. Felis. lectus, mattis eget lacus lorem. Vitae malesuada vitae. lorem fringilla.","Laoreet mattis eget.
Phasellus lorem vitae.
Facilisis vitae. Phasellus.
Sed lorem mollis.
Lacus sed lacus.
Aliquam lacus Phasellus.","Felis. eget eu.
Mattis ut, eget.
Felis. fringilla malesuada.
Lorem lacus Phasellus.
Egestas, mollis magna.
Dui. mollis laoreet.","Mattis laoreet fringilla.
Lorem Aliquam fringilla.
Mattis mattis lectus,.
Aliquam Aliquam lectus,.
Eget sed egestas,.
Laoreet Phasellus laoreet.","Sed laoreet fringilla.
Egestas, eu vitae.
Fringilla magna felis..
Facilisis mattis vitae.
Justo, Phasellus sed.
Mollis fringilla eu.",1,1,
20,The Sun,19,https://i.imgur.com/ZxSKw3T.jpg,Aquarius,fringilla,"justo,",mollis,dui.,"The naked child mounted on a white horse and displaying a red standard has been mentioned already as the better symbolism connected with this card. It is the destiny of the Supernatural East and the great and holy light which goes before the endless procession of humanity, coming out from the walled garden of the sensitive life and passing on the journey home. The card signifies, therefore, the transit from the manifest light of this world, represented by the glorious sun of earth, to the light of the world to come, which goes before aspiration and is typified by the heart of a child.But the last allusion is again the key to a different form or aspect of the symbolism. The sun is that of consciousness in the spirit - the direct as the antithesis of the reflected light. The characteristic type of humanity has become a little child therein--a child in the sense of simplicity and innocence in the sense of wisdom. In that simplicity, he bears the seal of Nature and of Art; in that innocence, he signifies the restored world. When the self-knowing spirit has dawned in the consciousness above the natural mind, that mind in its renewal leads forth the animal nature in a state of perfect conformity.","Aliquam lacus Aliquam. Egestas, laoreet mattis mollis fringilla justo,. Vitae mollis fringilla justo, lectus, lacus felis.. Sed laoreet Phasellus lorem lorem. Laoreet eget facilisis Sed justo, magna. Felis. fringilla lacus ut, laoreet. Lacus lacus mollis.","Phasellus lacus sed felis.. Lacus lectus, felis. dui. felis. vitae. mattis. Mollis vitae. eu mollis. Lectus, Phasellus laoreet facilisis vitae. lacus. Mattis eget sed ut,. Vitae. lorem eget justo, lorem egestas, laoreet.","Eu dui. laoreet fringilla. Eu lacus facilisis Aliquam. Justo, felis. vitae eu mattis facilisis Aliquam. Sed Phasellus facilisis ut,. Aliquam Phasellus justo, eget lorem dui. malesuada. Facilisis justo, facilisis justo, lacus magna fringilla. Sed sed fringilla Phasellus fringilla sed.","Eget vitae Aliquam.
Sed lorem Phasellus.
Eget malesuada fringilla.
Phasellus mollis Phasellus.
Vitae. mollis eget.
Mollis malesuada lectus,.","Facilisis vitae vitae..
Eu magna mollis.
Lectus, lacus Sed.
Laoreet lacus dui..
Lacus egestas, lectus,.
Egestas, eget sed.","Magna justo, facilisis.
Aliquam mattis laoreet.
Mollis egestas, mattis.
Mollis Phasellus dui..
Eu malesuada egestas,.
Fringilla felis. fringilla.","Magna lacus lacus.
Ut, Phasellus Aliquam.
Ut, justo, sed.
Vitae. laoreet mollis.
Lectus, lectus, Phasellus.
Laoreet facilisis lectus,.",1,1,
21,Judgement,20,https://i.imgur.com/RrAlqRf.jpg,mattis,"lectus,",dui.,"egestas,",Sed,"I have said that this symbol is essentially invariable in all Tarot sets, or at least the variations do not alter its character. The great angel is here encompassed by clouds, but he blows his bannered trumpet, and the cross as usual is displayed on the banner. The dead are rising from their tombs--a woman on the right, a man on the left hand, and between them their child, whose back is turned. But in this card there are more than three who are restored, and it has been thought worth while to make this variation as illustrating the insufficiency of current explanations. It should be noted that all the figures are as one in the wonder, adoration and ecstacy expressed by their attitudes. It is the card which registers the accomplishment of the great work of transformation in answer to the summons of the Supernal--which summons is heard and answered from within.Herein is the intimation of a significance which cannot well be carried further in the present place. What is that within us which does sound a trumpet and all that is lower in our nature rises in response--almost in a moment, almost in the twinkling of an eye? Let the card continue to depict, for those who can see no further, the Last judgment and the resurrection in the natural body; but let those who have inward eyes look and discover therewith. They will understand that it has been called truly in the past a card of eternal life, and for this reason it may be compared with that which passes under the name of Temperance.","Sed lorem sed Sed lacus vitae. Lacus lorem fringilla sed felis.. Eu facilisis sed Aliquam ut, eget eget. Lacus Sed dui. ut, laoreet felis..","Egestas, eu vitae. vitae justo,. Mattis vitae. ut, lacus dui. mattis lacus. Vitae facilisis dui. eget sed dui. fringilla. Eget lorem malesuada. Sed eget malesuada fringilla magna eget.","Aliquam egestas, malesuada Sed lectus, egestas, egestas,. Lacus felis. lorem lacus egestas, Sed. Lacus Phasellus magna eget eget vitae. mollis sed. Eget mattis Sed. Lacus malesuada lacus Aliquam justo, mollis Aliquam. Malesuada egestas, mollis facilisis facilisis egestas, vitae. magna. Vitae fringilla malesuada egestas, Phasellus facilisis Sed. Egestas, Sed lorem justo, felis. eu.","Ut, fringilla eu.
Eget eget justo,.
Mollis laoreet lacus.
Sed vitae. mollis.
Phasellus facilisis vitae.
Eu Phasellus fringilla.","Egestas, malesuada eget.
Mollis lacus fringilla.
Vitae lacus facilisis.
Egestas, eget facilisis.
Facilisis Phasellus Sed.
Eget egestas, lacus.","Aliquam mattis sed.
Facilisis vitae vitae.
Eget fringilla laoreet.
Malesuada facilisis fringilla.
Dui. Sed mattis.
Ut, Phasellus fringilla.","Justo, eu lacus.
Phasellus Sed vitae..
Facilisis eu lacus.
Aliquam justo, mollis.
Sed Phasellus eu.
Lorem mollis Sed.",1,1,
22,The Devil,15,https://i.imgur.com/aVYxJ9k.jpg,Capricorn,mollis,lorem,fringilla,lacus,"The design is an accommodation, mean or harmony, between several motives mentioned in the first part. The Horned Goat of Mendes, with wings like those of a bat, is standing on an altar. At the pit of the stomach there is the sign of Mercury. The right hand is upraised and extended, being the reverse of that benediction which is given by the Hierophant in the fifth card. In the left hand there is a great flaming torch, inverted towards the earth. A reversed pentagram is on the forehead. There is a ring in front of the altar, from which two chains are carried to the necks of two figures, male and female. These are analogous with those of the fifth card, as if Adam and Eve after the Fall. Hereof is the chain and fatality of the material life.The figures are tailed, to signify the animal nature, but there is human intelligence in the faces, and he who is exalted above them is not to be their master for ever. Even now, he is also a bondsman, sustained by the evil that is in him and blind to the liberty of service. With more than his usual derision for the arts which he pretended to respect and interpret as a master therein, Éliphas Lévi affirms that the Baphometic figure is occult science and magic. Another commentator says that in the Divine world it signifies predestination, but there is no correspondence in that world with the things which below are of the brute. What it does signify is the Dweller on the Threshold without the Mystical Garden when those are driven forth therefrom who have eaten the forbidden fruit.","Mattis justo, felis. mattis vitae sed. Lorem Sed fringilla. Facilisis felis. magna lacus. Ut, laoreet mattis. Mattis dui. Phasellus lacus lacus lacus.","Lorem lacus malesuada vitae vitae fringilla. Lacus vitae. justo, lectus, Sed magna. Egestas, eget Aliquam Phasellus eget Sed malesuada. Sed felis. ut,. Fringilla mollis ut, facilisis dui. eu justo, felis.. Eget ut, Sed vitae. mattis egestas,. Lectus, malesuada facilisis Phasellus vitae lorem.",Eget lacus vitae. Phasellus mattis. Dui. mattis dui. sed. Lacus malesuada vitae. eget. Malesuada Sed fringilla eget lorem.,"Malesuada mollis eu.
Magna lacus lectus,.
Magna vitae fringilla.
Mollis fringilla fringilla.
Aliquam egestas, magna.
Magna lectus, facilisis.","Fringilla facilisis lacus.
Fringilla mollis fringilla.
Eget eget lectus,.
Egestas, malesuada ut,.
Sed vitae lacus.
Felis. justo, Aliquam.","Vitae. magna sed.
Justo, mollis fringilla.
Lacus laoreet vitae..
Aliquam vitae lacus.
Lacus sed Phasellus.
Justo, malesuada justo,.","Laoreet felis. laoreet.
Lacus vitae fringilla.
Malesuada sed facilisis.
Malesuada justo, felis..
Lacus vitae. lorem.
Vitae. lectus, lectus,.",1,1,
